----- Preparing dataset -----
Data directory: /home/janek/studia/ITO/projekt/CUB_200_2011/CUB_200_2011/images
----- Loading class 001.Black_footed_Albatross -----
Total images # = 60
----- Loading class 002.Laysan_Albatross -----
Total images # = 60
----- Loading class 003.Sooty_Albatross -----
Total images # = 58
----- Loading class 004.Groove_billed_Ani -----
Total images # = 60
----- Loading class 005.Crested_Auklet -----
Total images # = 44
----- Loading class 006.Least_Auklet -----
Total images # = 41
----- Loading class 007.Parakeet_Auklet -----
Total images # = 53
----- Loading class 008.Rhinoceros_Auklet -----
Total images # = 48
----- Loading class 009.Brewer_Blackbird -----
Total images # = 59
----- Loading class 010.Red_winged_Blackbird -----
Total images # = 60
----- Dataset initialized -----
Dataset size = 543
Train = 488 (90%)
Test = 55 (10%)
----- Training started for model big -----
----- Epoch 1 -----
[16:26:41][Step 329] Loss: 2.41 | Was correct: False
[16:26:42][Step 330] Loss: 2.34 | Was correct: False
[16:26:44][Step 331] Loss: 2.51 | Was correct: False
[16:26:45][Step 332] Loss: 1.99 | Was correct: False
[16:26:47][Step 333] Loss: 2.40 | Was correct: False
[16:26:48][Step 334] Loss: 2.44 | Was correct: False
[16:26:50][Step 335] Loss: 2.34 | Was correct: False
[16:26:51][Step 336] Loss: 2.26 | Was correct: False
[16:26:53][Step 337] Loss: 2.51 | Was correct: False
[16:26:54][Step 338] Loss: 2.26 | Was correct: False
[16:26:56][Step 339] Loss: 2.66 | Was correct: False
[16:26:58][Step 340] Loss: 2.27 | Was correct: False
[16:26:59][Step 341] Loss: 2.24 | Was correct: False
[16:27:01][Step 342] Loss: 2.23 | Was correct: False
[16:27:02][Step 343] Loss: 2.21 | Was correct: False
[16:27:04][Step 344] Loss: 2.38 | Was correct: False
[16:27:05][Step 345] Loss: 2.34 | Was correct: False
[16:27:07][Step 346] Loss: 2.39 | Was correct: False
[16:27:08][Step 347] Loss: 2.22 | Was correct: False
[16:27:10][Step 348] Loss: 2.41 | Was correct: False
[16:27:11][Step 349] Loss: 2.20 | Was correct: False
[16:27:13][Step 350] Loss: 2.65 | Was correct: False
[16:27:14][Step 351] Loss: 2.13 | Was correct: False
[16:27:16][Step 352] Loss: 2.27 | Was correct: False
[16:27:17][Step 353] Loss: 2.39 | Was correct: False
[16:27:19][Step 354] Loss: 2.42 | Was correct: False
[16:27:22][Step 355] Loss: 2.39 | Was correct: False
[16:27:24][Step 356] Loss: 2.31 | Was correct: False
[16:27:26][Step 357] Loss: 2.13 | Was correct: True
[16:27:27][Step 358] Loss: 2.09 | Was correct: True
[16:27:29][Step 359] Loss: 2.36 | Was correct: False
[16:27:30][Step 360] Loss: 2.09 | Was correct: True
[16:27:32][Step 361] Loss: 2.18 | Was correct: False
[16:27:33][Step 362] Loss: 2.49 | Was correct: False
[16:27:35][Step 363] Loss: 2.25 | Was correct: False
[16:27:36][Step 364] Loss: 2.43 | Was correct: False
[16:27:38][Step 365] Loss: 2.34 | Was correct: False
[16:27:39][Step 366] Loss: 2.30 | Was correct: False
[16:27:41][Step 367] Loss: 2.19 | Was correct: False
[16:27:42][Step 368] Loss: 2.24 | Was correct: False
[16:27:44][Step 369] Loss: 2.36 | Was correct: False
[16:27:46][Step 370] Loss: 2.10 | Was correct: False
[16:27:47][Step 371] Loss: 2.34 | Was correct: False
[16:27:49][Step 372] Loss: 2.42 | Was correct: False
[16:27:50][Step 373] Loss: 2.27 | Was correct: False
[16:27:52][Step 374] Loss: 2.23 | Was correct: False
[16:27:53][Step 375] Loss: 2.18 | Was correct: False
[16:27:55][Step 376] Loss: 2.12 | Was correct: False
[16:27:56][Step 377] Loss: 2.16 | Was correct: False
